,title,page_link,writer,script_link,script_downloaded
304,"Curious Case of Benjamin Button, The","https://imsdb.com/Movie%20Scripts/Curious%20Case%20of%20Benjamin%20Button,%20The%20Script.html",Written by Eric Roth,"https://imsdb.com/scripts/Curious-Case-of-Benjamin-Button,-The.html",Yes
305,Custody,https://imsdb.com/Movie%20Scripts/Custody%20Script.html,Written by Eric Stuyvesant,https://imsdb.com/scripts/Custody.html,Yes
306,Dallas Buyers Club,https://imsdb.com/Movie%20Scripts/Dallas%20Buyers%20Club%20Script.html,"Written by Craig Borten,Melisa Wallack",https://imsdb.com/scripts/Dallas-Buyers-Club.html,Yes
307,"Damned United, The","https://imsdb.com/Movie%20Scripts/Damned%20United,%20The%20Script.html","Written by Peter Morgan,David Peace","https://imsdb.com/scripts/Damned-United,-The.html",Yes
308,Dances with Wolves,https://imsdb.com/Movie%20Scripts/Dances%20with%20Wolves%20Script.html,Written by Michael Blake,https://imsdb.com/scripts/Dances-with-Wolves.html,Yes
309,"Danish Girl, The","https://imsdb.com/Movie%20Scripts/Danish%20Girl,%20The%20Script.html","Written by Lucinda Coxon,David Ebershoff","https://imsdb.com/scripts/Danish-Girl,-The.html",Yes
310,Dark City,https://imsdb.com/Movie%20Scripts/Dark%20City%20Script.html,Written by Alex Proyas,https://imsdb.com/scripts/Dark-City.html,Yes
311,"Dark Knight Rises, The","https://imsdb.com/Movie%20Scripts/Dark%20Knight%20Rises,%20The%20Script.html","Written by Jonathan Nolan,Christopher Nolan","https://imsdb.com/scripts/Dark-Knight-Rises,-The.html",Yes
312,Dark Star,https://imsdb.com/Movie%20Scripts/Dark%20Star%20Script.html,"Written by John Carpenter,Dan O'Bannon",https://imsdb.com/scripts/Dark-Star.html,Yes
313,Darkman,https://imsdb.com/Movie%20Scripts/Darkman%20Script.html,"Written by Joshua Goldin,Daniel Goldin,Sam Raimi,Ivan Raimi,Chuck Pfarrer",https://imsdb.com/scripts/Darkman.html,Yes
314,Date Night,https://imsdb.com/Movie%20Scripts/Date%20Night%20Script.html,Written by Josh Klausner,https://imsdb.com/scripts/Date-Night.html,Yes
315,Dave Barry's Complete Guide to Guys,https://imsdb.com/Movie%20Scripts/Dave%20Barry's%20Complete%20Guide%20to%20Guys%20Script.html,"Written by Jeff Arch,Dave Barry",https://imsdb.com/scripts/Dave-Barry's-Complete-Guide-to-Guys.html,Yes
316,Dawn of the Dead,https://imsdb.com/Movie%20Scripts/Dawn%20of%20the%20Dead%20Script.html,Written by George A. Romero,https://imsdb.com/scripts/Dawn-of-the-Dead.html,Yes
317,Day of the Dead,https://imsdb.com/Movie%20Scripts/Day%20of%20the%20Dead%20Script.html,Written by George A. Romero,https://imsdb.com/scripts/Day-of-the-Dead.html,Yes
318,"Day the Clown Cried, The","https://imsdb.com/Movie%20Scripts/Day%20the%20Clown%20Cried,%20The%20Script.html","Written by Charles Denton,Jerry Lewis","https://imsdb.com/scripts/Day-the-Clown-Cried,-The.html",Yes
319,"Day the Earth Stood Still, The","https://imsdb.com/Movie%20Scripts/Day%20the%20Earth%20Stood%20Still,%20The%20Script.html",Written by Edmund H. North,"https://imsdb.com/scripts/Day-the-Earth-Stood-Still,-The.html",Yes
320,Days of Heaven,https://imsdb.com/Movie%20Scripts/Days%20of%20Heaven%20Script.html,Written by Terrance Malick,https://imsdb.com/scripts/Days-of-Heaven.html,Yes
321,Dead Poets Society,https://imsdb.com/Movie%20Scripts/Dead%20Poets%20Society%20Script.html,Written by Tom Schulman,https://imsdb.com/scripts/Dead-Poets-Society.html,Yes
322,Deadpool,https://imsdb.com/Movie%20Scripts/Deadpool%20Script.html,"Written by Rhett Reese,Paul Wernick",https://imsdb.com/scripts/Deadpool.html,Yes
323,Dear White People,https://imsdb.com/Movie%20Scripts/Dear%20White%20People%20Script.html,Written by Justin Simien,https://imsdb.com/scripts/Dear-White-People.html,Yes
324,Death at a Funeral,https://imsdb.com/Movie%20Scripts/Death%20at%20a%20Funeral%20Script.html,"Written by Chris Rock,Aeysha Carr",https://imsdb.com/scripts/Death-at-a-Funeral.html,Yes
325,Death to Smoochy,https://imsdb.com/Movie%20Scripts/Death%20to%20Smoochy%20Script.html,Written by Marty Kaplan,https://imsdb.com/scripts/Death-to-Smoochy.html,Yes
326,"Debt, The","https://imsdb.com/Movie%20Scripts/Debt,%20The%20Script.html","Written by Matthew Vaughn,Jane Goldman,Peter Straughan","https://imsdb.com/scripts/Debt,-The.html",Yes
327,Deception,https://imsdb.com/Movie%20Scripts/Deception%20Script.html,"Written by Mark Bomback,Patrick Marber",https://imsdb.com/scripts/Deception.html,Yes
328,Deep Cover,https://imsdb.com/Movie%20Scripts/Deep%20Cover%20Script.html,"Written by Michael Tolkin,Henry Bean",https://imsdb.com/scripts/Deep-Cover.html,Yes
329,Deep Rising,https://imsdb.com/Movie%20Scripts/Deep%20Rising%20Script.html,"Written by Steven Sommers,Robert Mark Kamen",https://imsdb.com/scripts/Deep-Rising.html,Yes
330,"Deer Hunter, The","https://imsdb.com/Movie%20Scripts/Deer%20Hunter,%20The%20Script.html",Written by Deric Washburn,"https://imsdb.com/scripts/Deer-Hunter,-The.html",Yes
331,Defiance,https://imsdb.com/Movie%20Scripts/Defiance%20Script.html,"Written by Clayton Frohman,Edward Zwick",https://imsdb.com/scripts/Defiance.html,Yes
332,"Departed, The","https://imsdb.com/Movie%20Scripts/Departed,%20The%20Script.html",Written by William Monahan,"https://imsdb.com/scripts/Departed,-The.html",Yes
333,"Descendants, The","https://imsdb.com/Movie%20Scripts/Descendants,%20The%20Script.html","Written by Alexander Payne,Nat Faxon,Jim Rash","https://imsdb.com/scripts/Descendants,-The.html",Yes
334,Despicable Me 2,https://imsdb.com/Movie%20Scripts/Despicable%20Me%202%20Script.html,"Written by Cinco Paul,Ken Daurio",https://imsdb.com/scripts/Despicable-Me-2.html,Yes
335,Detroit Rock City,https://imsdb.com/Movie%20Scripts/Detroit%20Rock%20City%20Script.html,Written by Carl V Dupre,https://imsdb.com/scripts/Detroit-Rock-City.html,Yes
336,Devil in a Blue Dress,https://imsdb.com/Movie%20Scripts/Devil%20in%20a%20Blue%20Dress%20Script.html,"Written by Carl Franklin,Walter Mosley",https://imsdb.com/scripts/Devil-in-a-Blue-Dress.html,Yes
337,"Devil Wears Prada, The","https://imsdb.com/Movie%20Scripts/Devil%20Wears%20Prada,%20The%20Script.html","Written by Aline Brosh McKenna,Lauren Weisberger","https://imsdb.com/scripts/Devil-Wears-Prada,-The.html",Yes
338,Devil's Advocate,https://imsdb.com/Movie%20Scripts/Devil's%20Advocate%20Script.html,"Written by Andrew Neiderman,Jonathan Lemkin",https://imsdb.com/scripts/Devil's-Advocate.html,Yes
339,Die Hard,https://imsdb.com/Movie%20Scripts/Die%20Hard%20Script.html,"Written by Jeb Stuart,Steven E. De Souza",https://imsdb.com/scripts/Die-Hard.html,Yes
340,Die Hard 2,https://imsdb.com/Movie%20Scripts/Die%20Hard%202%20Script.html,"Written by Doug Richardson,Steven E. de Souza",https://imsdb.com/scripts/Die-Hard-2.html,Yes
341,Diner,https://imsdb.com/Movie%20Scripts/Diner%20Script.html,Written by Barry Levinson,https://imsdb.com/scripts/Diner.html,Yes
342,"Distinguished Gentleman, The","https://imsdb.com/Movie%20Scripts/Distinguished%20Gentleman,%20The%20Script.html",Written by Adam Resnick,"https://imsdb.com/scripts/Distinguished-Gentleman,-The.html",Yes
343,Disturbia,https://imsdb.com/Movie%20Scripts/Disturbia%20Script.html,"Written by Christopher Landon,Carl Ellsworth",https://imsdb.com/scripts/Disturbia.html,Yes
344,Django Unchained,https://imsdb.com/Movie%20Scripts/Django%20Unchained%20Script.html,Written by Quentin Tarantino,https://imsdb.com/scripts/Django-Unchained.html,Yes
345,Do The Right Thing,https://imsdb.com/Movie%20Scripts/Do%20The%20Right%20Thing%20Script.html,Written by Spike Lee,https://imsdb.com/scripts/Do-The-Right-Thing.html,Yes
346,Dog Day Afternoon,https://imsdb.com/Movie%20Scripts/Dog%20Day%20Afternoon%20Script.html,Written by Frank Pierson,https://imsdb.com/scripts/Dog-Day-Afternoon.html,Yes
347,Dogma,https://imsdb.com/Movie%20Scripts/Dogma%20Script.html,Written by Kevin Smith,https://imsdb.com/scripts/Dogma.html,Yes
348,Donnie Brasco,https://imsdb.com/Movie%20Scripts/Donnie%20Brasco%20Script.html,Written by Paul Attanasio,https://imsdb.com/scripts/Donnie-Brasco.html,Yes
349,"Doors, The","https://imsdb.com/Movie%20Scripts/Doors,%20The%20Script.html","Written by Randall Jahnson,Oliver Stone","https://imsdb.com/scripts/Doors,-The.html",Yes
350,Double Indemnity,https://imsdb.com/Movie%20Scripts/Double%20Indemnity%20Script.html,"Written by James M. Cain,Billy Wilder,Raymond Chandler",https://imsdb.com/scripts/Double-Indemnity.html,Yes
351,Drag Me to Hell,https://imsdb.com/Movie%20Scripts/Drag%20Me%20to%20Hell%20Script.html,"Written by Ivan Raimi,Sam Raimi",https://imsdb.com/scripts/Drag-Me-to-Hell.html,Yes
352,Dragonslayer,https://imsdb.com/Movie%20Scripts/Dragonslayer%20Script.html,"Written by Hal Barwood,Matthew Robbins",https://imsdb.com/scripts/Dragonslayer.html,Yes
353,Drive,https://imsdb.com/Movie%20Scripts/Drive%20Script.html,"Written by Hossein Amini,James Sallis",https://imsdb.com/scripts/Drive.html,Yes
354,Drive Angry,https://imsdb.com/Movie%20Scripts/Drive%20Angry%20Script.html,"Written by Todd Farmer,Patrick Lussier",https://imsdb.com/scripts/Drive-Angry.html,Yes
355,Drop Dead Gorgeous,https://imsdb.com/Movie%20Scripts/Drop%20Dead%20Gorgeous%20Script.html,Written by Lona Williams,https://imsdb.com/scripts/Drop-Dead-Gorgeous.html,Yes
356,"Dry White Season, A","https://imsdb.com/Movie%20Scripts/Dry%20White%20Season,%20A%20Script.html",Written by Euzhan Palcy,"https://imsdb.com/scripts/Dry-White-Season,-A.html",Yes
357,Duck Soup,https://imsdb.com/Movie%20Scripts/Duck%20Soup%20Script.html,"Written by Bert Kelmer,Harry Ruby,Grover Jones",https://imsdb.com/scripts/Duck-Soup.html,Yes
358,Dumb and Dumber,https://imsdb.com/Movie%20Scripts/Dumb%20and%20Dumber%20Script.html,"Written by Peter Farrelly,Bobby Farrelly, Bennett Yellin",https://imsdb.com/scripts/Dumb-and-Dumber.html,Yes
359,Dune,https://imsdb.com/Movie%20Scripts/Dune%20Script.html,"Written by David Lynch,Frank Herbert",https://imsdb.com/scripts/Dune.html,Yes
360,E.T.,https://imsdb.com/Movie%20Scripts/E.T.%20Script.html,Written by Melissa Mathison,https://imsdb.com/scripts/E.T..html,Yes
361,Eagle Eye,https://imsdb.com/Movie%20Scripts/Eagle%20Eye%20Script.html,"Written by John Glenn,Travis Wright",https://imsdb.com/scripts/Eagle-Eye.html,Yes
362,Eastern Promises,https://imsdb.com/Movie%20Scripts/Eastern%20Promises%20Script.html,Written by Steven Knight,https://imsdb.com/scripts/Eastern-Promises.html,Yes
363,Easy A,https://imsdb.com/Movie%20Scripts/Easy%20A%20Script.html,Written by Bert V. Royal,https://imsdb.com/scripts/Easy-A.html,Yes
364,Ed TV,https://imsdb.com/Movie%20Scripts/Ed%20TV%20Script.html,"Written by Emile Gaudreault,Sylvie Bochard",https://imsdb.com/scripts/Ed-TV.html,Yes
365,Ed Wood,https://imsdb.com/Movie%20Scripts/Ed%20Wood%20Script.html,"Written by Scott Alexander,Larry Karaszewski,Tim Burton",https://imsdb.com/scripts/Ed-Wood.html,Yes
366,Edward Scissorhands,https://imsdb.com/Movie%20Scripts/Edward%20Scissorhands%20Script.html,"Written by Tim Burton,Caroline Thompson",https://imsdb.com/scripts/Edward-Scissorhands.html,Yes
367,Eight Legged Freaks,https://imsdb.com/Movie%20Scripts/Eight%20Legged%20Freaks%20Script.html,"Written by Jesse Alexander, Ellory Elkayem",https://imsdb.com/scripts/Eight-Legged-Freaks.html,Yes
368,El Mariachi,https://imsdb.com/Movie%20Scripts/El%20Mariachi%20Script.html,Written by Robert Rodriguez,https://imsdb.com/scripts/El-Mariachi.html,No
369,Election,https://imsdb.com/Movie%20Scripts/Election%20Script.html,"Written by Alexander Payne,Jim Taylor",https://imsdb.com/scripts/Election.html,Yes
370,"Elephant Man, The","https://imsdb.com/Movie%20Scripts/Elephant%20Man,%20The%20Script.html","Written by Christopher De Vore,Eric Bergren,David Lynch","https://imsdb.com/scripts/Elephant-Man,-The.html",Yes
371,Elizabeth: The Golden Age,https://imsdb.com/Movie%20Scripts/Elizabeth:%20The%20Golden%20Age%20Script.html,"Written by William Nicholson,Michael Hirst",https://imsdb.com/scripts/Elizabeth-The-Golden-Age.html,Yes
372,Elvis,https://imsdb.com/Movie%20Scripts/Elvis%20Script.html,"Written by Baz Luhrmann,Sam Bromell,Craig Pearce,Jeremy Doner",https://imsdb.com/scripts/Elvis.html,Yes
373,Enemy of the State,https://imsdb.com/Movie%20Scripts/Enemy%20of%20the%20State%20Script.html,Written by David Marconi,https://imsdb.com/scripts/Enemy-of-the-State.html,Yes
374,"English Patient, The","https://imsdb.com/Movie%20Scripts/English%20Patient,%20The%20Script.html",Written by Anthony Minghella,"https://imsdb.com/scripts/English-Patient,-The.html",Yes
375,Enough,https://imsdb.com/Movie%20Scripts/Enough%20Script.html,Written by Nicholas Kazan,https://imsdb.com/scripts/Enough.html,Yes
376,Entrapment,https://imsdb.com/Movie%20Scripts/Entrapment%20Script.html,"Written by Ronald Bass,Michael Herzberg",https://imsdb.com/scripts/Entrapment.html,Yes
377,Equilibrium,https://imsdb.com/Movie%20Scripts/Equilibrium%20Script.html,Written by Kurt Wimmer,https://imsdb.com/scripts/Equilibrium.pdf,No
378,Erik the Viking,https://imsdb.com/Movie%20Scripts/Erik%20the%20Viking%20Script.html,Written by Terry Jones,https://imsdb.com/scripts/Erik-the-Viking.html,Yes
379,Erin Brockovich,https://imsdb.com/Movie%20Scripts/Erin%20Brockovich%20Script.html,Written by Susannah Grant,https://imsdb.com/scripts/Erin-Brockovich.html,Yes
380,Escape From L.A.,https://imsdb.com/Movie%20Scripts/Escape%20From%20L.A.%20Script.html,"Written by John Carpenter,Debra Hill,Kurt Russell",https://imsdb.com/scripts/Escape-From-L.A..html,Yes
381,Escape From New York,https://imsdb.com/Movie%20Scripts/Escape%20From%20New%20York%20Script.html,"Written by John Carpenter,Nick Castle",https://imsdb.com/scripts/Escape-From-New-York.html,Yes
382,Eternal Sunshine of the Spotless Mind,https://imsdb.com/Movie%20Scripts/Eternal%20Sunshine%20of%20the%20Spotless%20Mind%20Script.html,"Written by Charlie Kaufman,Michel Gondry,Pierre Bismuth",https://imsdb.com/scripts/Eternal-Sunshine-of-the-Spotless-Mind.html,Yes
383,Even Cowgirls Get the Blues,https://imsdb.com/Movie%20Scripts/Even%20Cowgirls%20Get%20the%20Blues%20Script.html,"Written by Tom Robbins,Gus Van Sant",https://imsdb.com/scripts/Even-Cowgirls-Get-the-Blues.html,Yes
384,Event Horizon,https://imsdb.com/Movie%20Scripts/Event%20Horizon%20Script.html,Written by Philip Eisner,https://imsdb.com/scripts/Event-Horizon.html,Yes
385,Evil Dead,https://imsdb.com/Movie%20Scripts/Evil%20Dead%20Script.html,Written by Sam Raimi,https://imsdb.com/scripts/Evil-Dead.html,Yes
386,Evil Dead II: Dead by Dawn,https://imsdb.com/Movie%20Scripts/Evil%20Dead%20II:%20Dead%20by%20Dawn%20Script.html,"Written by Sam Raimi,Scott Spiegel",https://imsdb.com/scripts/Evil-Dead-II-Dead-by-Dawn.html,Yes
387,Ex Machina,https://imsdb.com/Movie%20Scripts/Ex%20Machina%20Script.html,Written by Alex Garland,https://imsdb.com/scripts/Ex-Machina.html,Yes
388,Excalibur,https://imsdb.com/Movie%20Scripts/Excalibur%20Script.html,"Written by Rospo Pallenberg,John Boorman",https://imsdb.com/scripts/Excalibur.html,Yes
389,eXistenZ,https://imsdb.com/Movie%20Scripts/eXistenZ%20Script.html,Written by David Cronenberg,https://imsdb.com/scripts/eXistenZ.html,Yes
390,Extract,https://imsdb.com/Movie%20Scripts/Extract%20Script.html,Written by Mike Judge,https://imsdb.com/scripts/Extract.html,Yes
391,"Fabulous Baker Boys, The","https://imsdb.com/Movie%20Scripts/Fabulous%20Baker%20Boys,%20The%20Script.html",Written by Steven Kloves,"https://imsdb.com/scripts/Fabulous-Baker-Boys,-The.html",Yes
392,Face Off,https://imsdb.com/Movie%20Scripts/Face%20Off%20Script.html,"Written by Mike Werb,Michael Colleary",https://imsdb.com/scripts/Face-Off.html,Yes
393,Fair Game,https://imsdb.com/Movie%20Scripts/Fair%20Game%20Script.html,"Written by Jez Butterworth,John-Henry Butterworth",https://imsdb.com/scripts/Fair-Game.html,Yes
394,FairyTale: A True Story,https://imsdb.com/Movie%20Scripts/FairyTale:%20A%20True%20Story%20Script.html,Written by Ernie Contreras,https://imsdb.com/scripts/FairyTale-A-True-Story.html,Yes
395,"Family Man, The","https://imsdb.com/Movie%20Scripts/Family%20Man,%20The%20Script.html","Written by David Diamond,David Weissman","https://imsdb.com/scripts/Family-Man,-The.html",Yes
396,Fantastic Four,https://imsdb.com/Movie%20Scripts/Fantastic%20Four%20Script.html,"Written by Mark Frost,Michael France",https://imsdb.com/scripts/Fantastic-Four.html,Yes
397,Fantastic Mr Fox,https://imsdb.com/Movie%20Scripts/Fantastic%20Mr%20Fox%20Script.html,"Written by Roald Dahl,Wes Anderson,Noah Baumbach",https://imsdb.com/scripts/Fantastic-Mr-Fox.html,Yes
398,Fargo,https://imsdb.com/Movie%20Scripts/Fargo%20Script.html,"Written by Joel Coen,Ethan Coen",https://imsdb.com/scripts/Fargo.html,Yes
399,Fast Times at Ridgemont High,https://imsdb.com/Movie%20Scripts/Fast%20Times%20at%20Ridgemont%20High%20Script.html,Written by Cameron Crowe,https://imsdb.com/scripts/Fast-Times-at-Ridgemont-High.html,Yes
400,Fatal Instinct,https://imsdb.com/Movie%20Scripts/Fatal%20Instinct%20Script.html,Written by David O'Malley,https://imsdb.com/scripts/Fatal-Instinct.html,Yes
401,"Fault in Our Stars, The","https://imsdb.com/Movie%20Scripts/Fault%20in%20Our%20Stars,%20The%20Script.html","Written by Scott Neustadter,Michael H. Weber","https://imsdb.com/scripts/Fault-in-Our-Stars,-The.html",Yes
402,Fear and Loathing in Las Vegas,https://imsdb.com/Movie%20Scripts/Fear%20and%20Loathing%20in%20Las%20Vegas%20Script.html,"Written by Terry Gilliam,Tony Grisoni",https://imsdb.com/scripts/Fear-and-Loathing-in-Las-Vegas.html,Yes
403,Feast,https://imsdb.com/Movie%20Scripts/Feast%20Script.html,"Written by Patrick Melton,Marcus Dunston",https://imsdb.com/scripts/Feast.html,Yes
404,Ferris Bueller's Day Off,https://imsdb.com/Movie%20Scripts/Ferris%20Bueller's%20Day%20Off%20Script.html,Written by John Hughes,https://imsdb.com/scripts/Ferris-Bueller's-Day-Off.html,Yes
405,Field of Dreams,https://imsdb.com/Movie%20Scripts/Field%20of%20Dreams%20Script.html,Written by Phil Alden Robinson,https://imsdb.com/scripts/Field-of-Dreams.html,Yes
406,"Fifth Element, The","https://imsdb.com/Movie%20Scripts/Fifth%20Element,%20The%20Script.html",Written by Luc Besson,"https://imsdb.com/scripts/Fifth-Element,-The.html",Yes
407,Fight Club,https://imsdb.com/Movie%20Scripts/Fight%20Club%20Script.html,Written by Jim Uhls,https://imsdb.com/scripts/Fight-Club.html,Yes
408,"Fighter, The","https://imsdb.com/Movie%20Scripts/Fighter,%20The%20Script.html","Written by Scott Silver,Paul Tamasy,Eric Johnson","https://imsdb.com/scripts/Fighter,-The.html",Yes
409,Final Destination,https://imsdb.com/Movie%20Scripts/Final%20Destination%20Script.html,"Written by James Wong,Glen Morgan",https://imsdb.com/scripts/Final-Destination.html,Yes
410,Final Destination 2,https://imsdb.com/Movie%20Scripts/Final%20Destination%202%20Script.html,"Written by J. Mackye Gruber,Eric Bress",https://imsdb.com/scripts/Final-Destination-2.html,Yes
411,Finding Nemo,https://imsdb.com/Movie%20Scripts/Finding%20Nemo%20Script.html,Written by Andrew Stanton,https://imsdb.com/scripts/Finding-Nemo.html,Yes
412,First Cow,https://imsdb.com/Movie%20Scripts/First%20Cow%20Script.html,"Written by Jon Raymond,Kelly Reichardt",https://imsdb.com/scripts/First-Cow.html,Yes
413,Five Easy Pieces,https://imsdb.com/Movie%20Scripts/Five%20Easy%20Pieces%20Script.html,Written by Carole Eastman,https://imsdb.com/scripts/Five-Easy-Pieces.html,Yes
414,Flash Gordon,https://imsdb.com/Movie%20Scripts/Flash%20Gordon%20Script.html,Written by Lorenzo Semple Jr.,https://imsdb.com/scripts/Flash-Gordon.html,Yes
415,Fletch,https://imsdb.com/Movie%20Scripts/Fletch%20Script.html,"Written by Phil A. Robinson,Andrew Bergman",https://imsdb.com/scripts/Fletch.html,Yes
416,Flight,https://imsdb.com/Movie%20Scripts/Flight%20Script.html,Written by John Gatins,https://imsdb.com/scripts/Flight.html,Yes
417,"Flintstones, The","https://imsdb.com/Movie%20Scripts/Flintstones,%20The%20Script.html",Written by Steven E. De Souza,"https://imsdb.com/scripts/Flintstones,-The.html",Yes
418,Forrest Gump,https://imsdb.com/Movie%20Scripts/Forrest%20Gump%20Script.html,"Written by Eric Roth,Winston Groom",https://imsdb.com/scripts/Forrest-Gump.html,Yes
419,Four Feathers,https://imsdb.com/Movie%20Scripts/Four%20Feathers%20Script.html,"Written by Michael Chiffer,Hossein Amini",https://imsdb.com/scripts/Four-Feathers.html,Yes
420,Four Rooms,https://imsdb.com/Movie%20Scripts/Four%20Rooms%20Script.html,"Written by Allison Anders,Quentin Tarantino,Robert Rodriguez,Alexandre Rockwell",https://imsdb.com/scripts/Four-Rooms.html,Yes
421,Foxcatcher,https://imsdb.com/Movie%20Scripts/Foxcatcher%20Script.html,"Written by E. Max Frye,Dan Futterman",https://imsdb.com/scripts/Foxcatcher.html,Yes
422,Fracture,https://imsdb.com/Movie%20Scripts/Fracture%20Script.html,Written by Dan Pyne,https://imsdb.com/scripts/Fracture.html,Yes
423,Frances,https://imsdb.com/Movie%20Scripts/Frances%20Script.html,"Written by Eric Bergren,Christopher De Vore,Nicholas Kazan",https://imsdb.com/scripts/Frances.html,Yes
424,Frankenstein,https://imsdb.com/Movie%20Scripts/Frankenstein%20Script.html,"Written by Steph Lady,Frank Darabont",https://imsdb.com/scripts/Frankenstein.html,Yes
425,Frankenweenie,https://imsdb.com/Movie%20Scripts/Frankenweenie%20Script.html,Written by John August,https://imsdb.com/scripts/Frankenweenie.html,Yes
426,Freaked,https://imsdb.com/Movie%20Scripts/Freaked%20Script.html,"Written by Tim Burns,Tom Stern,Alex Winter",https://imsdb.com/scripts/Freaked.html,Yes
427,Freddy vs. Jason,https://imsdb.com/Movie%20Scripts/Freddy%20vs.%20Jason%20Script.html,Written by Peter Briggs,https://imsdb.com/scripts/Freddy-vs.-Jason.html,Yes
428,"French Connection, The","https://imsdb.com/Movie%20Scripts/French%20Connection,%20The%20Script.html",Written by Ernest Tidyman,"https://imsdb.com/scripts/French-Connection,-The.html",Yes
429,Frequency,https://imsdb.com/Movie%20Scripts/Frequency%20Script.html,Written by Toby Emmerich,https://imsdb.com/scripts/Frequency.html,Yes
430,Friday the 13th,https://imsdb.com/Movie%20Scripts/Friday%20the%2013th%20Script.html,Written by Victor Miller,https://imsdb.com/scripts/Friday-the-13th.html,Yes
431,Friday the 13th Part VIII: Jason Takes Manhattan,https://imsdb.com/Movie%20Scripts/Friday%20the%2013th%20Part%20VIII:%20Jason%20Takes%20Manhattan%20Script.html,Written by Rob Hedden,https://imsdb.com/scripts/Friday-the-13th-Part-VIII-Jason-Takes-Manhattan.html,Yes
432,Fright Night,https://imsdb.com/Movie%20Scripts/Fright%20Night%20Script.html,Written by Marti Noxon,https://imsdb.com/scripts/Fright-Night.html,Yes
433,Fright Night (1985),https://imsdb.com/Movie%20Scripts/Fright%20Night%20(1985)%20Script.html,Written by Tom Holland,https://imsdb.com/scripts/Fright-Night-(1985).html,Yes
434,From Dusk Till Dawn,https://imsdb.com/Movie%20Scripts/From%20Dusk%20Till%20Dawn%20Script.html,Written by Quentin Tarantino,https://imsdb.com/scripts/From-Dusk-Till-Dawn.html,Yes
435,From Here to Eternity,https://imsdb.com/Movie%20Scripts/From%20Here%20to%20Eternity%20Script.html,Written by Daniel Taradash,https://imsdb.com/scripts/From-Here-to-Eternity.html,Yes
436,Frozen,https://imsdb.com/Movie%20Scripts/Frozen%20Script.html,Written by Adam Green,https://imsdb.com/scripts/Frozen.html,Yes
437,Frozen (Disney),https://imsdb.com/Movie%20Scripts/Frozen%20(Disney)%20Script.html,Written by Jennifer Lee,https://imsdb.com/scripts/Frozen-(Disney).html,Yes
438,Frozen River,https://imsdb.com/Movie%20Scripts/Frozen%20River%20Script.html,Written by Courtney Hunt,https://imsdb.com/scripts/Frozen-River.html,Yes
439,Fruitvale Station,https://imsdb.com/Movie%20Scripts/Fruitvale%20Station%20Script.html,Written by Ryan Coogler,https://imsdb.com/scripts/Fruitvale-Station.html,Yes
440,"Fugitive, The","https://imsdb.com/Movie%20Scripts/Fugitive,%20The%20Script.html","Written by Jeb Stuart,David N. Twohy","https://imsdb.com/scripts/Fugitive,-The.html",Yes
441,Funny People,https://imsdb.com/Movie%20Scripts/Funny%20People%20Script.html,Written by Judd Apatow,https://imsdb.com/scripts/Funny-People.html,Yes
442,G.I. Jane,https://imsdb.com/Movie%20Scripts/G.I.%20Jane%20Script.html,Written by David Twohy,https://imsdb.com/scripts/G.I.-Jane.html,Yes
443,G.I. Joe: The Rise of Cobra,https://imsdb.com/Movie%20Scripts/G.I.%20Joe:%20The%20Rise%20of%20Cobra%20Script.html,"Written by Stuart Beattie,John Lee Hancock,Brian Koppelman,David Levien",https://imsdb.com/scripts/G.I.-Joe-The-Rise-of-Cobra.html,Yes
444,Game 6,https://imsdb.com/Movie%20Scripts/Game%206%20Script.html,Written by Don DeLillo,https://imsdb.com/scripts/Game-6.html,Yes
445,"Game, The","https://imsdb.com/Movie%20Scripts/Game,%20The%20Script.html","Written by John Brancato,Michael Ferris,Larry Gross,Andrew Kevin Walker","https://imsdb.com/scripts/Game,-The.html",Yes
446,Gamer,https://imsdb.com/Movie%20Scripts/Gamer%20Script.html,"Written by Mark Neveldine,Brian Taylor",https://imsdb.com/scripts/Gamer.html,Yes
447,Gandhi,https://imsdb.com/Movie%20Scripts/Gandhi%20Script.html,Written by John Briley,https://imsdb.com/scripts/Gandhi.html,Yes
448,Gang Related,https://imsdb.com/Movie%20Scripts/Gang%20Related%20Script.html,Written by Jim Kouf,https://imsdb.com/scripts/Gang-Related.html,Yes
449,Gangs of New York,https://imsdb.com/Movie%20Scripts/Gangs%20of%20New%20York%20Script.html,"Written by Jay Cocks,Steven Zaillian,Kenneth Lonergan",https://imsdb.com/scripts/Gangs-of-New-York.html,Yes
450,Garden State,https://imsdb.com/Movie%20Scripts/Garden%20State%20Script.html,Written by Zach Braff,https://imsdb.com/scripts/Garden-State.html,Yes
451,Gattaca,https://imsdb.com/Movie%20Scripts/Gattaca%20Script.html,Written by Andrew Niccol,https://imsdb.com/scripts/Gattaca.html,Yes
452,Get Carter,https://imsdb.com/Movie%20Scripts/Get%20Carter%20Script.html,"Written by Mike Hodges,Ted Lewis",https://imsdb.com/scripts/Get-Carter.html,Yes
453,Get Low,https://imsdb.com/Movie%20Scripts/Get%20Low%20Script.html,"Written by Chris Provenzano,Scott Seeke,C. Gaby Mitchell",https://imsdb.com/scripts/Get-Low.html,Yes
454,Get on Up,https://imsdb.com/Movie%20Scripts/Get%20on%20Up%20Script.html,"Written by Steven Baigelman,Jez Butterworth,John-Henry Butterworth",https://imsdb.com/scripts/Get-on-Up.html,Yes
